store_name,age,info,url,instagram,sta1_shop_url
제이마인,30대,"럭셔리·명품,미시스타일",http://www.jmine.net,jmine_j,https://www.sta1.com/shops/1602?shopType=S&gndr=F
98도씨,"10대,20대","러블리,심플베이직",http://98doci.com,98.c_project,https://www.sta1.com/shops/4450?shopType=S&gndr=F
프롬걸즈,10대,십대쇼핑몰,http://www.fromgirls.co.kr/,"fromgirls55,fromgirls_official",https://www.sta1.com/shops/151?shopType=S&gndr=F
한스스타일,30대,"미시스타일,심플베이직",http://www.mediacategory.com/servlet/drc,no_instagram,https://www.sta1.com/shops/2903?shopType=S&gndr=F
에린,30대,"럭셔리·명품,미시스타일",http://www.mediacategory.com/servlet/drc,no_instagram,https://www.sta1.com/shops/3139?shopType=S&gndr=F
로니엘,"20대,30대","러블리,심플베이직",http://www.roniel.co.kr/,"roniel_official,roniel_yuri",https://www.sta1.com/shops/2559?shopType=S&gndr=F
비숍,30대,"럭셔리·명품,미시스타일",http://vi-shop.kr/,"vi_shop_official,vi_shop__",https://www.sta1.com/shops/254?shopType=S&gndr=F
헤이즐모드,"20대,30대","모던시크,심플베이직",http://haselmode.co.kr,hasel0413,https://www.sta1.com/shops/4507?shopType=S&gndr=F
드랑,"20대,30대","러블리,모던시크",http://www.derang.me/,DERANG_ONNI,https://www.sta1.com/shops/2530?shopType=S&gndr=F
스위트플러스,"20대,30대","빅사이즈,심플베이직",http://www.sweetplus.co.kr/,"sweetplus1004,sweetplus_official",https://www.sta1.com/shops/3068?shopType=S&gndr=F
니쁜스,"20대,30대","럭셔리·명품,모던시크",http://nibbuns.co.kr/,no_instagram,https://www.sta1.com/shops/53?shopType=S&gndr=F
트윈시스,"20대,30대","모던시크,유니크",http://www.twinsis.co.kr/,no_instagram,https://www.sta1.com/shops/2746?shopType=S&gndr=F
하이애니,"20대,30대","모던시크,유니크",http://www.high-eny.co.kr/,higheny_official,https://www.sta1.com/shops/397?shopType=S&gndr=F
오드,"20대,30대","럭셔리·명품,페미닌",http://www.ode.co.kr/,ode.co.kr,https://www.sta1.com/shops/906?shopType=S&gndr=F
마이더스비,30대,"미시스타일,페미닌",http://www.midasb.co.kr,midas_b,https://www.sta1.com/shops/1110?shopType=S&gndr=F
초코맘,30대,"미시스타일,심플베이직",http://chocomom.com,no_instagram,https://www.sta1.com/shops/638?shopType=S&gndr=F
7일간의휴가,"20대,30대",커플룩·비치룩,http://7v.co.kr,sevendays_vacation,https://www.sta1.com/shops/441?shopType=S&gndr=F
뽕브라몰,"10대,20대,30대",언더웨어,http://bbongbra.co.kr/,bbongbra_mall,https://www.sta1.com/shops/2797?shopType=S&gndr=F
피그힙,20대,"러블리,유니크",http://pighip.co.kr/,pighip_86project,https://www.sta1.com/shops/38?shopType=S&gndr=F
메이뜰,"20대,30대","모던시크,심플베이직",http://www.mayddle.com,mayddle_official,https://www.sta1.com/shops/2905?shopType=S&gndr=F
트렌디어패럴,20대,"모던시크,유니크",http://www.trendy-apparel.co.kr/,from_minju,https://www.sta1.com/shops/3179?shopType=S&gndr=F
로로텐,"20대,30대","빅사이즈,심플베이직",http://loloten.com/,loloten_com,https://www.sta1.com/shops/822?shopType=S&gndr=F
